years,country,people
1910,Africa,0
1920,Africa,0
1940,Africa,0
1950,Africa,0
1960,Africa,0
1970,Africa,12
2000,Africa,733
1910,Asia,0
1920,Asia,0
1940,Asia,32
1950,Asia,27
1960,Asia,0
1970,Asia,0
2000,Asia,"1,310"
1910,Armenia,0
1920,Armenia,22
1940,Armenia,0
1950,Armenia,0
1960,Armenia,0
1970,Armenia,0
2000,Armenia,0
1910,Argentina,0
1920,Argentina,0
1940,Argentina,0
1950,Argentina,0
1960,Argentina,0
1970,Argentina,0
2000,Argentina,12
1910,Austria,52
1920,Austria,26
1940,Austria,19
1950,Austria,12
1960,Austria,31
1970,Austria,6
2000,Austria,0
1910,Barbados,0
1920,Barbados,0
1940,Barbados,0
1950,Barbados,0
1960,Barbados,0
1970,Barbados,0
2000,Barbados,21
1910,Brazil,0
1920,Brazil,0
1940,Brazil,0
1950,Brazil,0
1960,Brazil,0
1970,Brazil,0
2000,Brazil,"1,452"
1910,Belgium,0
1920,Belgium,0
1940,Belgium,11
1950,Belgium,0
1960,Belgium,0
1970,Belgium,0
2000,Belgium,0
1910,Bolivia,0
1920,Bolivia,0
1940,Bolivia,0
1950,Bolivia,0
1960,Bolivia,0
1970,Bolivia,0
2000,Bolivia,6
1910,Caribbean,0
1920,Caribbean,0
1940,Caribbean,0
1950,Caribbean,0
1960,Caribbean,0
1970,Caribbean,0
2000,Caribbean,649
1910,Canada,4034
1920,Canada,2421
1940,Canada,"2,141"
1950,Canada,"1,722"
1960,Canada,"2,849"
1970,Canada,454
2000,Canada,133
1910,Cambodia,0
1920,Cambodia,0
1940,Cambodia,0
1950,Cambodia,0
1960,Cambodia,0
1970,Cambodia,0
2000,Cambodia,55
1910,Chile,0
1920,Chile,0
1940,Chile,0
1950,Chile,0
1960,Chile,0
1970,Chile,0
2000,Chile,40
1910,China,0
1920,China,0
1940,China,0
1950,China,0
1960,China,0
1970,China,15
2000,China,227
1910,Costa Rica,0
1920,Costa Rica,0
1940,Costa Rica,0
1950,Costa Rica,0
1960,Costa Rica,0
1970,Costa Rica,0
2000,Costa Rica,40
1910,Colombia,0
1920,Colombia,0
1940,Colombia,0
1950,Colombia,0
1960,Colombia,0
1970,Colombia,0
2000,Colombia,"2,906"
1910,Cuba,0
1920,Cuba,0
